framework,category,row_count,mode,instrumentation_enabled,warmup_runs,measured_runs,mean_ms,median_ms,minimum_ms,maximum_ms,standard_deviation_ms,p90_ms,preparation_ms,alignment_ms,decision_ms,controller_ms,policy_ms,session_ms,setup_ms,position_ms,diagnostics_ms,normalization_ms,serialization_ms,manifest_ms,memory_bytes,repeated_indicator_calculations
triple_screen_trading,multi_timeframe,1000,stateful,False,1,5,440.48675999511033,437.9560999805108,427.1451999666169,464.7272999864072,12.760174427254649,454.1105799842626,2.9975600074976683,18.11639997176826,229.92306021042168,0.0,0.0,0.0,0.0,0.0,31.096800207160413,28.78603944554925,24.556559417396784,0.198980001732707,3414923,0
turtle_trading,trend_following,1000,stateful,False,1,5,257.4779200367629,257.5807999819517,242.1853999840096,272.24210009444505,12.140063656515697,271.1961400927976,1.2091000098735094,6.143160001374781,127.03708114568144,0.0,0.0,0.0,0.0,0.0,17.75479973293841,22.0710601657629,17.688180156983435,0.1955199753865599,2804031,0
volume_expansion_breakout,breakout,1000,stateful,False,1,5,364.16196001227945,359.05349999666214,352.4402000475675,379.8432000912726,9.757257162255144,376.09768002294,1.1851400136947632,6.167279998771846,225.88034067302945,0.0,0.0,0.0,0.0,0.0,19.56541899126023,23.36607971228659,19.18337973766029,0.2562800189480185,2934633,0
vwap_mean_reversion,mean_reversion,1000,stateful,False,1,5,328.74473999254405,329.2395999887958,309.58289990667254,361.5067000500858,18.365167587288067,349.0039800293744,1.1953999986872077,6.254299986176193,189.28378010168672,0.0,0.0,0.0,0.0,0.0,19.35488004237413,23.382039507851005,19.146879483014345,0.1859799958765506,2809031,0
williams_r_reversal,mean_reversion,1000,stateful,False,1,5,469.2272000014782,456.47830003872514,453.5617999499664,492.7546000108123,17.095777835693468,490.5686399899423,1.182500016875565,5.956219998188317,316.99460085947067,0.0,0.0,0.0,0.0,0.0,24.302360881119967,26.69361964799464,22.663219668902457,0.2247199648991227,2922245,0
zscore_mean_reversion,mean_reversion,1000,stateful,False,1,5,311.4303999813273,305.58889999520034,293.4558999259025,330.5459999246523,15.49843133028008,329.9543999833986,1.1982399970293045,6.267319992184639,177.58670046459883,0.0,0.0,0.0,0.0,0.0,18.738499679602683,23.008279339410365,18.559219338931143,0.2014399971812963,2811031,0
adx_trend_following,trend_following,1000,stateful_policy,False,1,5,338.27817998826504,338.5662999935448,317.5656999228522,353.90270000789315,12.208496230327729,350.81289999652654,1.1997200082987547,7.362359971739352,199.2547795176506,0.0,0.0,0.0,0.0,0.0,19.75981993600726,23.647680808790028,19.44122079294175,0.18994000274688,2809031,0
aroon_trend,trend_following,1000,stateful_policy,False,1,5,346.8272800091654,346.0496000479907,328.17919994704425,374.67809999361634,17.042423169427394,366.6918199975044,1.1631999630481005,6.051020044833422,212.35106091480705,0.0,0.0,0.0,0.0,0.0,19.34232024941593,23.30039839725941,19.146018382161856,0.1862999750301242,2801037,0
atr_volatility_breakout,breakout,1000,stateful_policy,False,1,5,337.3873800272122,337.332500028424,315.5084999743849,364.86940004397184,19.07696290587447,359.52156006824225,1.2067199684679508,6.371260015293956,195.5114003503695,0.0,0.0,0.0,0.0,0.0,19.912641146220267,23.98385989945382,19.5208998862654,0.209019985049963,2813031,0
bollinger_mean_reversion,mean_reversion,1000,stateful_policy,False,1,5,209.5097999786958,208.43810006044805,201.57389994710684,216.33440000005064,5.797276752434405,216.1379599943757,1.1409600032493472,6.169160036370158,82.98153905197978,0.0,0.0,0.0,0.0,0.0,17.017299495637417,21.27872013952583,17.10818016435951,0.1837799791246652,2814025,0
bollinger_squeeze_breakout,breakout,1000,stateful_policy,False,1,5,339.87559999804944,340.2187000028789,329.8394000157714,345.241199946031,5.549025313879997,345.05451996810734,1.2459600111469626,6.470979982987046,196.5219795238227,0.0,0.0,0.0,0.0,0.0,20.173240429721773,24.289339128881693,19.81941910926253,0.2449800027534366,2936738,0
cci_trend_pullback,momentum,1000,stateful_policy,False,1,5,477.0845399936661,468.4156000148505,447.7761000161991,522.202100022696,25.074001424119864,506.1715400079265,1.1600600089877844,6.131959962658584,320.6190588185564,0.0,0.0,0.0,0.0,0.0,25.07188094314188,28.035060898400843,23.101900867186487,0.2431599888950586,2920251,0
chandelier_exit_trend,trend_following,1000,stateful_policy,False,1,5,373.2774599920958,390.49150003120303,328.62980000209063,424.3241000222042,37.24774600738208,411.05782000813633,1.163700013421476,6.218099989928305,227.39239989314228,0.0,0.0,0.0,0.0,0.0,21.46892005112022,25.22298058029264,20.662500569596887,0.2073199953883886,2811037,0
connors_rsi_mean_reversion,mean_reversion,1000,stateful_policy,False,1,5,323.3284399844706,334.30449990555644,290.3400000650436,337.3771000187844,17.6449121451394,336.4349000155926,1.1822200380265713,6.488319975323975,179.6829605475068,0.0,0.0,0.0,0.0,0.0,20.43223998043686,22.838618932291865,18.523778952658176,0.2466399688273668,2926038,0
donchian_breakout,breakout,1000,stateful_policy,False,1,5,276.42457999754697,273.3025000197813,257.87159998435527,299.85209996812046,16.15357949773816,295.78989995643497,1.2924000155180693,6.292019970715046,140.46841897070408,0.0,0.0,0.0,0.0,0.0,18.748280173167583,23.30549997277558,18.65572000388056,0.2210199832916259,2807031,0
dual_moving_average_crossover,trend_following,1000,stateful_policy,False,1,5,353.9254199946299,358.7597999721765,325.68030001129955,369.24210004508495,15.398977744160366,367.5217400304973,1.2981000123545527,6.399480020627379,206.5921603469178,0.0,0.0,0.0,0.0,0.0,21.041499357670546,25.110099278390408,20.604739291593432,0.2360199810937047,2819031,0
elder_impulse_system,momentum,1000,stateful_policy,False,1,5,384.9016800057143,385.3227000217885,361.2138000316918,401.30809997208416,14.242728257860405,399.698460008949,1.2496199691668153,6.279640016146004,239.4423206569627,0.0,0.0,0.0,0.0,0.0,21.219158498570323,25.298379454761744,20.63377946615219,0.2116400049999356,2810037,0
ema_ribbon_trend,trend_following,1000,stateful_policy,False,1,5,341.77205997984856,338.1759999319911,320.77260001096874,372.0333999954164,16.654784355435,359.10563999786973,1.2615399900823832,6.567439995706081,199.60404082667085,0.0,0.0,0.0,0.0,0.0,20.49085949547589,24.32179916650057,19.931119168177247,0.2091600093990564,2806031,0
engulfing_confirmation_trend,price_action,1000,stateful_policy,False,1,5,354.9078199779615,353.66269992664456,333.04030005820096,376.97430001571774,14.02833290463475,369.5146999787539,1.0278199799358845,5.838060029782355,214.56154128536585,0.0,0.0,0.0,0.0,0.0,19.622400868684053,23.991438816301525,19.790238817222416,0.2461399883031845,2940627,0
heikin_ashi_trend,trend_following,1000,stateful_policy,False,1,5,364.35795999132097,357.0393999107182,351.61689994856715,385.7256000628695,12.697801410197842,380.1769200479612,1.1640400160104036,6.334039987996221,226.3623800361529,0.0,0.0,0.0,0.0,0.0,19.63788049761206,23.381118872202933,19.132818863727152,0.1962600043043494,2807037,0
ichimoku_cloud_trading,trend_following,1000,stateful_policy,False,1,5,275.5541200051084,266.2283000536263,260.27159998193383,307.6124000363052,17.00885185275032,295.6738799810409,1.2013199971988795,6.206720019690692,138.68798003531992,0.0,0.0,0.0,0.0,0.0,18.23413993697613,23.62230052240193,19.16444052476436,0.2778600202873349,2884672,0
inside_bar_breakout,price_action,1000,stateful_policy,False,1,5,367.7357600303367,368.84470004588366,353.71830000076443,383.8320999639109,10.811702744731624,379.88742000889033,1.2334000086411834,6.036799983121455,226.27181876450777,0.0,0.0,0.0,0.0,0.0,19.48892083019018,24.09050075802952,19.381900783628225,0.2569200238212943,2922745,0
keltner_channel_breakout,breakout,1000,stateful_policy,False,1,5,340.63701999839395,341.8697000015527,321.2068999418989,358.22920000646263,11.775366478567378,351.9186400109902,1.167579973116517,6.270659994333983,202.8668605023995,0.0,0.0,0.0,0.0,0.0,19.489940209314227,23.509318800643086,19.20995875261724,0.197919993661344,2814031,0
macd_momentum,momentum,1000,stateful_policy,False,1,5,328.3623599912971,320.65899996086955,317.49379995744675,343.22749997954816,11.21393563784564,342.25081999320537,1.1043399572372437,5.894720042124391,194.434759975411,0.0,0.0,0.0,0.0,0.0,19.10780102480203,22.97519997227937,18.825219944119453,0.1860000193119049,2803031,0
momentum_acceleration_breakout,breakout,1000,stateful_policy,False,1,5,364.9642599979416,364.4344999920577,341.36710001621395,383.894499973394,15.829918902859353,382.4526599841192,1.209559990093112,6.356879975646734,221.13733950536695,0.0,0.0,0.0,0.0,0.0,20.248278812505305,25.013840873725712,19.845820870250463,0.2586599439382553,2944623,0
